Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Task,APO-13,Done,Blocker,setup aws amplify,6h,6h,0m,0m,1d 2h 9m,1d 2h 9m,"4 hours, 9 minutes","4 hours, 9 minutes",-69,-69
Task,APO-26,Done,Blocker,create binary poll screen,6h,6h,0m,0m,1d 4h 5m,1d 4h 5m,"6 hours, 5 minutes","6 hours, 5 minutes",-101,-101
Task,APO-28,Done,Blocker,create image poll screen,1d,1d,0m,0m,2d 7h 6m,2d 7h 6m,"1 day, 7 hours, 6 minutes","1 day, 7 hours, 6 minutes",-188,-188
Sub-task,APO-31,Done,,$parentIssue.getKey() -> add method for getting poll by id,2h,2h,0m,0m,4h 28m,4h 28m,"2 hours, 28 minutes","2 hours, 28 minutes",-123,-123
Sub-task,APO-32,Done,,$parentIssue.getKey() -> create component for sharing poll url,2h,2h,0m,0m,3h 10m,3h 10m,"1 hour, 10 minutes","1 hour, 10 minutes",-58,-58
Task,APO-33,Done,Blocker,implement deeplink,4h,4h,0m,0m,1d 6h 1m,1d 6h 1m,"1 day, 2 hours, 1 minute","1 day, 2 hours, 1 minute",-250,-250
Task,APO-42,Done,Blocker,create poll results screen,4h,4h,0m,0m,1d 2h 33m,1d 2h 33m,"6 hours, 33 minutes","6 hours, 33 minutes",-163,-163
Task,APO-58,Done,,create screen for voting binary poll,6h,6h,0m,0m,7h 26m,7h 26m,"1 hour, 26 minutes","1 hour, 26 minutes",-23,-23
Task,APO-66,Done,Blocker,add share button to poll results,2h,2h,0m,0m,3h 42m,3h 42m,"1 hour, 42 minutes","1 hour, 42 minutes",-85,-85
Task,APO-71,Done,,create dynamodb adapter for accounts,3h,3h,0m,0m,1d 15m,1d 15m,"5 hours, 15 minutes","5 hours, 15 minutes",-175,-175
Task,APO-75,Done,Major,"Changes to UI for app header, got header and navigation to play nicely.",4h,4h,0m,0m,4h,4h,0 minutes,0 minutes,0,0
Task,APO-76,Done,Major,Create a landing page,1d,1d,0m,0m,1d 3h 29m,1d 3h 29m,"3 hours, 29 minutes","3 hours, 29 minutes",-43,-43
Task,APO-78,Done,Major,Create a demographic break down sreen,4h,4h,0m,0m,1d 7h 49m,1d 7h 49m,"1 day, 3 hours, 49 minutes","1 day, 3 hours, 49 minutes",-295,-295
Task,APO-79,Done,Major,Finish my polls section,3h,3h,0m,0m,4h 37m,4h 37m,"1 hour, 37 minutes","1 hour, 37 minutes",-53,-53
Task,APO-80,Done,Major,Design Poll API,3h,3h,0m,0m,4h 36m,4h 36m,"1 hour, 36 minutes","1 hour, 36 minutes",-53,-53
Task,APO-81,Done,Major,Automate the build process,4h,4h,0m,0m,5h 38m,5h 38m,"1 hour, 38 minutes","1 hour, 38 minutes",-40,-40
