Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Task,APO-1,Done,Major,Create Pages and Navigation through the app,6h,6h,0m,0m,6h 9m,6h 9m,9 minutes,9 minutes,-2,-2
Task,APO-4,Done,Major,Create a Poll Functionality,2d,2d,0m,0m,1d 2h 58m,1d 2h 58m,"5 hours, 2 minutes","5 hours, 2 minutes",31,31
Task,APO-6,Done,Major,Build App load/first open flow according to design,-,-,0m,0m,2h 30m,2h 30m,,,,
Task,APO-7,Done,Major,Build design for feed/Home page And Create Poll Page,0m,0m,0m,0m,1d 1h 50m,1d 1h 50m,"1 day, 1 hour, 50 minutes","1 day, 1 hour, 50 minutes",,
Task,APO-57,Done,Blocker,create endpoint for sending poll vote,2h,2h,0m,0m,4h 2m,4h 2m,"2 hours, 2 minutes","2 hours, 2 minutes",-101,-101
Task,APO-142,Done,Major,Image Service Restructure,2h 30m,2h 30m,0m,0m,2h 47m,2h 47m,17 minutes,17 minutes,-11,-11
Task,APO-171,Done,Major,Misc Tweaks + Fixes,-,-,0m,0m,1d 2h 48m,1d 2h 48m,,,,
Sub-task,APO-222,Done,Major,APO-200 -> Add endpoint to list test frameworks,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-230,Done,Minor,"APO-223 -> Setup Google App, Microsoft App and Facebook app for Apollo",1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-237,Done,Major,APO-225 -> Add child dashboard,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,APO-238,Done,Major,APO-225 -> Add view child endpoint,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-239,Done,Major,APO-226 -> Add endpoint for viewing list of exercises,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-242,Done,Major,APO-226 -> Add endpoint for viewing exercise detail,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,APO-245,Done,Major,APO-227 -> Add endpoint for submitting an answer,2h,2h,0m,0m,3h 6m,3h 6m,"1 hour, 6 minutes","1 hour, 6 minutes",-55,-55
Sub-task,APO-246,Done,Major,APO-227 -> Add endpoint grading and getting the answers for an exercise,2h,2h,0m,0m,1d 1h,1d 1h,7 hours,7 hours,-350,-350
Sub-task,APO-247,Done,Major,APO-227 -> Add screen for reviewing answers,2h,2h,0m,0m,5h,5h,3 hours,3 hours,-150,-150
Sub-task,APO-251,Done,Major,APO-228 -> Add endpoint for viewing test objectives under a strand,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-256,Done,Major,APO-203 -> finalize endpoints,1h,1h,0m,0m,1h 15m,1h 15m,15 minutes,15 minutes,-25,-25
Sub-task,APO-257,Done,Major,APO-203 -> Add create form,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-259,Done,Major,APO-207 -> Create a generic prompt for generating questions,1h,1h,0m,0m,1h 10m,1h 10m,10 minutes,10 minutes,-16,-16
Sub-task,APO-260,Done,Major,APO-207 -> Create a receiver for generating questions,1h,1h,0m,0m,3h 30m,3h 30m,"2 hours, 30 minutes","2 hours, 30 minutes",-250,-250
Sub-task,APO-265,Done,Major,APO-261 -> Add a screen for creating/updating/testing a prompt,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-266,Done,Major,APO-261 -> Add endpoint for upserting a prompt,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-269,Done,Major,APO-203 -> Feedback,-,-,0m,0m,2h 30m,2h 30m,,,,
Sub-task,APO-276,Done,Major,APO-270 -> Implement RevenueCat service in IAM,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,APO-277,Done,Major,APO-270 -> Add subscription screens,1h,1h,0m,0m,2h 30m,2h 30m,"1 hour, 30 minutes","1 hour, 30 minutes",-150,-150
Sub-task,APO-278,Done,Major,APO-270 -> Feedback,1h,1h,0m,0m,5h 25m,5h 25m,"4 hours, 25 minutes","4 hours, 25 minutes",-441,-441
Sub-task,APO-288,Done,Major,APO-207 -> Feedback,-,-,0m,0m,1h 30m,1h 30m,,,,
Sub-task,APO-291,Done,Major,APO-290 -> Update UI to allow for adding sub questions,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-292,Done,Major,APO-290 -> Update the question upsert endpoint to allow for passing in sub parts,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-294,Done,Major,APO-225 -> add screen for adding child,1h,1h,0m,0m,1h 30m,1h 30m,30 minutes,30 minutes,-50,-50
Story,APO-295,To Do,Major,As an admin I should be able to select multiple test objectives for a question,-,-,-,0m,-,1h,,,,
-> Sub-task,APO-297,To Do,Major,-> Update question upsert endpoint to receive multiple test objectives,-,,0m,,1h,,,,,
Sub-task,APO-296,Done,Major,APO-270 -> Implement stripe service in IAM,0m,0m,0m,0m,-,-,,-,,
Sub-task,APO-298,Done,Major,APO-225 -> Get student creation working on the test service,1h,1h,0m,0m,2h 30m,2h 30m,"1 hour, 30 minutes","1 hour, 30 minutes",-150,-150
Sub-task,APO-299,Done,Major,APO-227 -> add endpoint for viewing answer,-,-,0m,0m,15m,15m,,,,
Sub-task,APO-300,Done,Major,"APO-224 -> Make it so that if an email is entered for student, invite is sent",2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,APO-301,Done,Major,APO-224 -> Feedback,-,-,0m,0m,1h,1h,,,,
Sub-task,APO-304,Done,Major,APO-227 -> Feedback,-,-,0m,0m,6h 30m,6h 30m,,,,
Sub-task,APO-305,Done,Major,APO-226 -> Feedback,0m,0m,0m,0m,3h 30m,3h 30m,"3 hours, 30 minutes","3 hours, 30 minutes",,
Sub-task,APO-311,Done,Major,APO-270 -> Update exercise upsert receiver to return 402 if the user doesn't have a subscription,1h,1h,0m,0m,1h 15m,1h 15m,15 minutes,15 minutes,-25,-25
Sub-task,APO-315,Done,Major,APO-270 -> Add an endpoint to IAM to get an updated JWT,-,-,0m,0m,3h 30m,3h 30m,,,,
Sub-task,APO-318,Done,Major,APO-303 -> Add endpoint for getting the stats of an exercise,2h,2h,0m,0m,3h 24m,3h 24m,"1 hour, 24 minutes","1 hour, 24 minutes",-70,-70
Sub-task,APO-319,Done,Major,APO-303 -> Hook up UI to backend,2h,2h,0m,0m,4h 15m,4h 15m,"2 hours, 15 minutes","2 hours, 15 minutes",-112,-112
Sub-task,APO-321,Done,Major,APO-270 -> Add subscription ID to the JWT,1h,1h,0m,0m,3h,3h,2 hours,2 hours,-200,-200
Sub-task,APO-349,Done,Major,APO-346 -> Add a list screen for all the exercises,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,APO-350,Done,Major,APO-346 -> Add form for creating/updating an exercise,2h,2h,0m,0m,6h 51m,6h 51m,"4 hours, 51 minutes","4 hours, 51 minutes",-242,-242
Sub-task,APO-387,Done,Major,APO-384 -> add ela writing as a subject,2h,2h,0m,0m,5h,5h,3 hours,3 hours,-150,-150
Sub-task,APO-388,Done,Major,APO-384 -> setup the different types of essays as strands,-,-,0m,0m,2h,2h,,,,
Sub-task,APO-391,Done,Major,"APO-384 -> Add screens for selecting strand, and questions",-,-,0m,0m,3h 30m,3h 30m,,,,
Task,APO-151,Done,Major,Get up to speed with the Image Server,4h,4h,5m,5m,3h 55m,3h 55m,0 minutes,0 minutes,0,0
Task,APO-2,Done,Major,Create Apollo RN project and Repo,1h,1h,15m,15m,45m,45m,0 minutes,0 minutes,0,0
Sub-task,APO-244,Done,Major,APO-227 -> Add screen for viewing a question,3h,3h,18m,18m,3h 54m,3h 54m,"1 hour, 12 minutes","1 hour, 12 minutes",-40,-40
Sub-task,APO-317,Done,Major,APO-303 -> Record time spent on a question,1h,1h,20m,20m,1h 40m,1h 40m,1 hour,1 hour,-100,-100
Sub-task,APO-323,Done,Major,APO-303 -> Update tally to only show questions as a whole and not each question part individually,1h,1h,20m,20m,1h 40m,1h 40m,1 hour,1 hour,-100,-100
Sub-task,APO-275,Done,Major,APO-270 -> Setup revenue cat,1h,1h,30m,30m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,APO-289,Done,Major,APO-261 -> Feedback,1h,1h,30m,30m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,APO-293,Done,Major,APO-290 -> Update Question generation to accommodate multi part questions,1h,1h,30m,30m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,APO-352,Done,Major,APO-309 -> Add method on Answer to mark answer correct,30m,30m,30m,30m,-,-,-,-,0,0
Sub-task,APO-354,Done,Major,APO-307 -> Update question service to fix issue where repeats are in the sample,30m,30m,30m,30m,-,-,-,-,0,0
Sub-task,APO-322,Done,Major,APO-303 -> Add total metrics at the top,1h,1h,35m,35m,25m,25m,0 minutes,0 minutes,0,0
Task,APO-253,Done,Major,Import test objectives from CSV,1h,3h,0m,40m,1h,3h 20m,0 minutes,1 hour,0,-33
-> Sub-task,APO-254,Done,Major,"-> Process subjects,strands, substrands",1h,,0m,,1h,,0 minutes,,0,0
-> Sub-task,APO-255,Done,Major,"-> Process test objectives, thinking process",1h,,40m,,1h 20m,,1 hour,,-100,-100
Sub-task,APO-258,Done,Major,APO-207 -> Import questions from CSV,1h,1h,44m,44m,1h 16m,1h 16m,1 hour,1 hour,-100,-100
Story,APO-176,Done,Major,I should be able to get the answer for a question,-,1h,-,1h,-,-,,-,,
-> Sub-task,APO-187,Done,Major,-> Update answer prompt to work without out the user submitting an answer,1h,,1h,,-,,-,,0,0
-> Sub-task,APO-189,Done,Major,-> Experiment with prompt that checks it's own explanation,-,,-,,-,,,,,
Sub-task,APO-231,Done,Major,APO-223 -> Setup dashboard for logged in Parent,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
