Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Sub-task,PALM-22,Done,Major,PALM-11 -> add a receiver for approving/rejecting the service request,1h,1h,0m,0m,1h 30m,1h 30m,30 minutes,30 minutes,-50,-50
Sub-task,PALM-23,Done,Major,PALM-11 -> add confirmation screens to show the choice that they selected,1h,1h,0m,0m,1h 30m,1h 30m,30 minutes,30 minutes,-50,-50
Sub-task,PALM-26,Done,Major,PALM-17 -> Setup controllers for getting a list of requests and viewing a request,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,PALM-29,Done,Major,PALM-17 -> Add receiver for creating a service request in an account,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,PALM-30,Done,Major,PALM-17 -> Add a receiver for deleting a service request,1h,1h,0m,0m,20m,20m,40 minutes,40 minutes,66,66
Sub-task,PALM-38,Done,Major,PALM-6 -> create domain object and model for contract,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,PALM-39,Done,Major,PALM-6 -> add receiver for creating contract,1h,1h,0m,0m,6h,6h,5 hours,5 hours,-500,-500
Sub-task,PALM-40,Done,Major,PALM-6 -> create domain object and model for price schedule item,-,-,0m,0m,2h,2h,,,,
Sub-task,PALM-41,Done,Major,PALM-6 -> hook up create contract screen,-,-,0m,0m,41m,41m,,,,
Sub-task,PALM-42,Done,Major,PALM-6 -> create controller for listing the contracts,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,PALM-43,Done,Major,PALM-6 -> add a receiver for deleting a contract,1h,1h,0m,0m,20m,20m,40 minutes,40 minutes,66,66
Sub-task,PALM-44,Done,Major,PALM-4 -> Add view client screen,-,-,0m,0m,1h,1h,,,,
Sub-task,PALM-46,Done,Major,PALM-17 -> Add endpoint for uploading a file,2h,2h,0m,0m,4h 37m,4h 37m,"2 hours, 37 minutes","2 hours, 37 minutes",-130,-130
Sub-task,PALM-47,Done,Major,PALM-17 -> Add screen for Adding a Quote,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,PALM-52,Done,Major,PALM-17 -> Hook up service request view screen,1h,1h,0m,0m,2h,2h,1 hour,1 hour,-100,-100
Sub-task,PALM-53,Done,Major,PALM-17 -> Wireframe and client approval,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,PALM-54,Done,Major,PALM-17 -> Add endpoint for adding service request items,1h,1h,0m,0m,5h 6m,5h 6m,"4 hours, 6 minutes","4 hours, 6 minutes",-410,-410
Sub-task,PALM-56,Done,Major,PALM-17 -> Update the service request list screen columns,1h,1h,0m,0m,3h,3h,2 hours,2 hours,-200,-200
Sub-task,PALM-57,Done,Major,"PALM-15 -> Rework Bills, Vendor Quotes",1h,1h,0m,0m,2h,2h,1 hour,1 hour,-100,-100
Sub-task,PALM-58,Done,Major,PALM-17 -> Add FileService implementation for AWS that uses S3,-,-,0m,0m,1h 17m,1h 17m,,,,
Sub-task,PALM-59,Done,Major,PALM-7 -> Hook up screen for adding a Quote,1h,1h,0m,0m,5h 10m,5h 10m,"4 hours, 10 minutes","4 hours, 10 minutes",-416,-416
Sub-task,PALM-60,Done,Major,PALM-6 -> Update the items functionality to make edit behave similar to service request items,1h,1h,0m,0m,1h 33m,1h 33m,33 minutes,33 minutes,-55,-55
Sub-task,PALM-61,Done,Major,PALM-14 -> Confirm vendor API works,2h,2h,0m,0m,1h,1h,1 hour,1 hour,50,50
Sub-task,PALM-70,Done,Major,PALM-5 -> Ensure add contact works,1h,1h,0m,0m,2h 52m,2h 52m,"1 hour, 52 minutes","1 hour, 52 minutes",-186,-186
Sub-task,PALM-71,Done,Major,PALM-16 -> Add endpoint for listing schedules,1h,1h,0m,0m,30m,30m,30 minutes,30 minutes,50,50
Sub-task,PALM-72,Done,Major,PALM-16 -> Add endpoint for upserting schedule,1h,1h,0m,0m,1h 30m,1h 30m,30 minutes,30 minutes,-50,-50
Sub-task,PALM-73,Done,Major,PALM-16 -> Add endpoint for viewing schedule,20m,20m,0m,0m,10m,10m,10 minutes,10 minutes,50,50
Sub-task,PALM-74,Done,Major,PALM-16 -> Add endpoint for deleting schedule,-,-,0m,0m,30m,30m,,,,
Sub-task,PALM-75,Done,Major,PALM-16 -> Add endppint for listing categories,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,PALM-76,Done,Major,PALM-16 -> add endpoint for upserting categories,1h,1h,0m,0m,4h 42m,4h 42m,"3 hours, 42 minutes","3 hours, 42 minutes",-370,-370
Sub-task,PALM-77,Done,Major,PALM-16 -> add endpoint for viewing categories,-,-,0m,0m,30m,30m,,,,
Sub-task,PALM-78,Done,Major,PALM-16 -> add endpoint for deleting categories,-,-,0m,0m,10m,10m,,,,
Sub-task,PALM-79,Done,Major,PALM-16 -> add endpoint for listing items,1h,1h,0m,0m,25m,25m,35 minutes,35 minutes,58,58
Sub-task,PALM-82,Done,Major,PALM-16 -> add endpoint for viewing items,30m,30m,0m,0m,30m,30m,0 minutes,0 minutes,0,0
