Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Task,MED-26,Done,Major,Setup Prod environment,4h,4h,0m,0m,1d 18m,1d 18m,"4 hours, 18 minutes","4 hours, 18 minutes",-107,-107
Sub-task,MED-29,Done,Major,MED-1 -> Setup environment for apple id,2h,2h,0m,0m,2h 30m,2h 30m,30 minutes,30 minutes,-25,-25
Sub-task,MED-30,Done,Major,MED-1 -> Setup OAuth Config for Apple Service,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-32,Done,Major,MED-1 -> Feedback,-,-,0m,0m,1d 1h,1d 1h,,,,
Sub-task,MED-34,Done,Major,MED-2 -> Implement GetInfo,30m,30m,0m,0m,40m,40m,10 minutes,10 minutes,-33,-33
Sub-task,MED-36,Done,Major,MED-3 -> Implement GetInfo,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-38,Done,Major,MED-4 -> Setup login endpoint,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-39,Done,Major,MED-4 -> Implement Cache service interface on Azure Service,1h,1h,0m,0m,1h 6m,1h 6m,6 minutes,6 minutes,-10,-10
Sub-task,MED-42,Done,Major,MED-5 -> Setup system for initiating a password reset,1h,1h,0m,0m,1h 50m,1h 50m,50 minutes,50 minutes,-83,-83
Sub-task,MED-43,Done,Major,MED-5 -> Setup endpoint for updating the password after reset,-,-,0m,0m,1h 30m,1h 30m,,,,
Sub-task,MED-47,To Do,Major,MED-27 -> Update github actions to push to azure,4h,4h,0m,0m,5h 30m,5h 30m,"1 hour, 30 minutes","1 hour, 30 minutes",-37,-37
Sub-task,MED-49,Done,Major,MED-27 -> Setup authentication and login,4h,4h,0m,0m,4h 30m,4h 30m,30 minutes,30 minutes,-12,-12
Sub-task,MED-50,Done,Major,MED-22 -> Setup container,2h,2h,0m,0m,3h 10m,3h 10m,"1 hour, 10 minutes","1 hour, 10 minutes",-58,-58
Sub-task,MED-52,To Do,Major,MED-22 -> Setup api gateway,30m,30m,0m,0m,2h,2h,"1 hour, 30 minutes","1 hour, 30 minutes",-300,-300
Sub-task,MED-53,Done,Major,MED-27 -> setup onboarding screens,-,-,0m,0m,3h,3h,,,,
Sub-task,MED-54,In Progress,Major,MED-27 -> fix failing tests,-,-,0m,0m,1h,1h,,,,
Sub-task,MED-56,Done,Major,MED-5 -> setup email service,-,-,0m,0m,1h 10m,1h 10m,,,,
Sub-task,MED-76,Done,Major,MED-19 -> model the tutor service,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-77,Done,Major,"MED-19 -> create entities, receivers etc",1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-79,Done,Major,MED-19 -> add screens to admin for managing prompt,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-80,Done,Major,MED-18 -> Add concept of tags,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-82,Done,Major,MED-18 -> Update question form to allow user to specify identifier,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-84,Done,Major,MED-18 -> Update question form so that multemdia could be uploaded or added as a link,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-87,Done,Major,MED-18 -> Make it so that the id for the question is generated,30m,30m,0m,0m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,MED-88,Done,Major,MED-18 -> Add multimedia concept to answers,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-94,Done,Major,MED-93 -> Import learning objectives,3h,3h,0m,0m,5h,5h,2 hours,2 hours,-66,-66
Sub-task,MED-95,Done,Major,MED-93 -> Update UI to be auto complete,2h,2h,0m,0m,3h,3h,1 hour,1 hour,-50,-50
Sub-task,MED-96,Done,Major,MED-6 -> Setup build keys in app store,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,MED-99,Done,Major,MED-6 -> First deploy to test flight,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
