Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Task,WS-346,Done,Major,Clean up Integration service,-,-,0m,0m,2h 30m,2h 30m,,,,
Task,WS-379,Done,Major,Create synthetic data for demo account,-,-,0m,0m,6h,6h,,,,
Task,WS-401,Done,Major,Remove unbounded reports from prompt,-,-,0m,0m,2h 47m,2h 47m,,,,
Task,WS-412,Done,Critical,Switch to using GPT-4,-,-,0m,0m,4h 8m,4h 8m,,,,
Bug,WS-419,Done,Major,Null response for some queries,-,-,0m,0m,45m,45m,,,,
Bug,WS-420,Done,Major,Email on user list doesn't match the user that accepted invite,-,-,0m,0m,15m,15m,,,,
Story,WS-426,Done,Major,I should be able to create an alert on the finance assistant,-,-,0m,0m,4h 40m,4h 40m,,,,
Story,WS-427,Done,Major,I should be able to delete an alert,-,-,0m,0m,1h 20m,1h 20m,,,,
Story,WS-431,Done,Major,I should see notifications on the homescreen if alerts are triggered,-,-,0m,0m,2h 28m,2h 28m,,,,
Story,WS-441,Done,Blocker,I should be able to set email as an option to receive notifications,-,-,0m,0m,2h 35m,2h 35m,,,,
Story,WS-459,Done,Major,As a user I should be able to view a notification's details,-,-,0m,0m,20m,20m,,,,
Story,WS-461,Done,Blocker,As a user I should be able to snooze a notification,-,-,0m,0m,1d 1h 12m,1d 1h 12m,,,,
Story,WS-463,Done,Major,As a user I should be able view an alert's details,-,-,0m,0m,5h 30m,5h 30m,,,,
Story,WS-464,Done,Major,As a user I should be able to view a alert log detail,-,-,0m,0m,1h 30m,1h 30m,,,,
Task,WS-497,Done,Major,Make it so that if the alert response has markdown it's summarized,-,-,0m,0m,1h,1h,,,,
Story,WS-521,Done,Major,As a user I should be able to see all the activity from the alert runs on the home screen,-,-,0m,0m,4h 10m,4h 10m,,,,
Story,WS-528,Done,Critical,As a user I should be able to see a list of my alerts,-,-,0m,0m,1h 10m,1h 10m,,,,
Bug,WS-529,Done,Blocker,Error signing up for a new weos account,-,-,0m,0m,1h,1h,,,,
Bug,WS-534,Done,Critical,"When asking ""Is the checking account balance greater than $10?"" the LLM contradicts itself",-,-,0m,0m,1d 56m,1d 56m,,,,
Bug,WS-535,Done,Major,When there is an issue setting up the alert it is NOT showing an error,-,-,0m,0m,2h 20m,2h 20m,,,,
