Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Story,WS-2,To Do,Major,I should be able to install a personal assistant,1d,1d,0m,0m,7h 22m,7h 22m,38 minutes,38 minutes,7,7
Story,WS-11,In Progress,Major,I should be able to setup a manufacturing cost assistant,-,1d 30m,0m,0m,5h 39m,3d 3h 29m,,"2 days, 2 hours, 59 minutes",,-223
-> Sub-task,WS-36,Done,Major,-> Add schemas to the prompt,30m,,0m,,1h 15m,,45 minutes,,-150,-150
-> Sub-task,WS-37,Done,Major,-> Create the embeddings for the queries,6h,,0m,,1d 5h 12m,,"7 hours, 12 minutes",,-120,-120
-> Sub-task,WS-75,Done,Critical,-> Update the query so that it removes duplicates and uses the data from the Shawline Facility,2h,,0m,,5h 2m,,"3 hours, 2 minutes",,-151,-151
-> Sub-task,WS-108,In Progress,Major,-> What caused the change in value of inventory over the last week?,-,,0m,,2h 21m,,,,,
Sub-task,WS-15,Done,Minor,WS-14 -> Update the homescreen to have updated tagline,-,-,0m,0m,10m,10m,,,,
Sub-task,WS-16,Done,Minor,WS-14 -> Fix initial icon on the landing screen,1h,1h,0m,0m,3h 30m,3h 30m,"2 hours, 30 minutes","2 hours, 30 minutes",-250,-250
Sub-task,WS-17,Done,Minor,WS-14 -> Ensure all integrations have icons,30m,30m,0m,0m,1h 30m,1h 30m,1 hour,1 hour,-200,-200
Sub-task,WS-18,Done,Major,WS-14 -> Redirect back to the main chat after installing integration,10m,10m,0m,0m,10m,10m,0 minutes,0 minutes,0,0
Sub-task,WS-19,Done,Major,WS-14 -> Make message input smaller,1h 30m,1h 30m,0m,0m,2h 20m,2h 20m,50 minutes,50 minutes,-55,-55
Sub-task,WS-20,Done,Major,WS-13 -> Update the UI to send the query parameters to the subresouce page,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-21,Done,Major,WS-13 -> Update the google calendar package to have subscribe and unsubscribe handlers,-,-,0m,0m,5h,5h,,,,
Sub-task,WS-22,Done,Major,WS-13 -> Update Setup subscription handler on the Account Service,-,-,0m,0m,2h,2h,,,,
Sub-task,WS-25,Done,Major,WS-12 -> Setup Netsuite Provider in IAM,1h,1h,0m,0m,3h 38m,3h 38m,"2 hours, 38 minutes","2 hours, 38 minutes",-263,-263
Sub-task,WS-26,Done,Major,WS-12 -> Create graphQL schema,30m,30m,0m,0m,3h 53m,3h 53m,"3 hours, 23 minutes","3 hours, 23 minutes",-676,-676
Sub-task,WS-27,Done,Major,WS-12 -> Add netsuite integration,2h,2h,0m,0m,3h 49m,3h 49m,"1 hour, 49 minutes","1 hour, 49 minutes",-90,-90
Sub-task,WS-31,Done,Major,WS-3 -> Update graphql controller to pass the id_token in the request,-,-,0m,0m,20m,20m,,,,
Sub-task,WS-32,Done,Major,WS-3 -> Update grapql controller to handle multiple calendars,-,-,0m,0m,2h,2h,,,,
Sub-task,WS-33,Done,Major,WS-3 -> Update schemas to match the assistant,30m,30m,0m,0m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,WS-38,Done,Major,WS-3 -> Clean up mappings stuff,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-39,Done,Major,WS-14 -> Update the logo on the homescreen to higher res version,-,-,0m,0m,30m,30m,,,,
Sub-task,WS-40,Done,Major,WS-14 -> Update the images for the assistants to high res images,-,-,0m,0m,2h,2h,,,,
Sub-task,WS-45,Done,Major,WS-14 -> Make it so that if item have id/title/name render those columns first,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-46,Done,Major,WS-12 -> Deploy to staging,-,-,0m,0m,1h,1h,,,,
Bug,WS-47,Done,Major,Error being returned from the app when a workflow has no steps,-,-,0m,0m,1h 10m,1h 10m,,,,
Sub-task,WS-48,Done,Major,WS-3 -> Update mappings,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-49,Done,Major,WS-14 -> Make it so that the table can render nested fields,-,-,0m,0m,2h,2h,,,,
Sub-task,WS-50,Done,Major,WS-14 -> Update assistant manifest with new images,-,-,0m,0m,1h,1h,,,,
Bug,WS-52,Done,Major,"Error ""unexpected response from assistant service"" when creating manu asst",-,-,0m,0m,15m,15m,,,,
Sub-task,WS-53,Done,Major,WS-44 -> Add endpoint on the integration to valid integration jwt token,10m,10m,0m,0m,10m,10m,0 minutes,0 minutes,0,0
Sub-task,WS-54,Done,Major,WS-44 -> Create command handler to pull the assistant and check if specific integrations exist,2h,2h,0m,0m,2h 10m,2h 10m,10 minutes,10 minutes,-8,-8
Sub-task,WS-56,Done,Major,WS-44 -> Return errors,10m,10m,0m,0m,10m,10m,0 minutes,0 minutes,0,0
Sub-task,WS-57,Done,Major,WS-44 -> Add notification bar to the top of chat container,2h,2h,0m,0m,3h 30m,3h 30m,"1 hour, 30 minutes","1 hour, 30 minutes",-75,-75
Bug,WS-58,QA,Minor,Square install not working,-,-,0m,0m,30m,30m,,,,
Sub-task,WS-63,Done,Major,WS-44 -> Update Iam to return expires property,30m,30m,0m,0m,1h 24m,1h 24m,54 minutes,54 minutes,-180,-180
Bug,WS-64,Done,Blocker,When the user has access to both prod and sandbox on Nesuite they are redirected to prod during OAuth,-,-,0m,0m,23m,23m,,,,
Sub-task,WS-74,Done,Major,WS-61 -> Show me the accounts with the largest variances compared to the previous month,2h,2h,0m,0m,3h 28m,3h 28m,"1 hour, 28 minutes","1 hour, 28 minutes",-73,-73
Sub-task,WS-78,Done,Major,WS-61 -> Are there expenses accounts with a credit balance,2h,2h,0m,0m,6h 55m,6h 55m,"4 hours, 55 minutes","4 hours, 55 minutes",-245,-245
Sub-task,WS-80,Done,Major,WS-67 -> Can you identify any duplicate transactions in the last quarter,2h,2h,0m,0m,3h,3h,1 hour,1 hour,-50,-50
Sub-task,WS-81,Done,Major,WS-67 -> Are there any round-sum entries in the major expense accounts,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,WS-85,Done,Major,WS-67 -> Create embeddings for queries and test,-,-,0m,0m,1h 15m,1h 15m,,,,
Sub-task,WS-93,Done,Major,WS-60 -> Update IAM to work with apideck as a provider,-,-,0m,0m,5h 35m,5h 35m,,,,
Sub-task,WS-94,Done,Major,WS-61 -> Add filters for balance sheets,-,-,0m,0m,1h 30m,1h 30m,,,,
Sub-task,WS-95,Done,Major,WS-60 -> Update provider in manifest to be apideck,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-96,Done,Major,WS-67 -> Add ledger account mapping and update bill mapping,-,-,0m,0m,5h 30m,5h 30m,,,,
