Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Bug,Done,Blocker,"['When', 'integration', 'option', 'setup', 'sub', 'resources', 'isnt', 'completed', 'correctly']",0,30
Bug,Done,Major,"['Getting', 'null', 'error', 'response', 'first', 'loading', 'app', 'production']",0,65
Story,Done,Critical,"['I', 'able', 'setup', 'Finance', 'assistant']",0,0
Story,Done,Critical,"['When', 'session', 'expires', 'I', 'taken', 'login']",60,60
Bug,Done,Major,"['All', 'connections', 'deleted', 'blank', 'connection', 'deleted']",0,105
Task,Done,Major,"['Update', 'payment', 'config', 'mapping', 'undeposited', 'funds']",30,30
Bug,Done,Critical,"['The', 'wrong', 'date', 'showing', 'payouts', 'orders']",30,38
Task,Done,Major,"['Rename', 'Sparks', 'Signals']",30,30
Bug,Done,Critical,"['Charge', 'Back', 'insights', 'posting', 'multiple', 'times', 'day']",0,10
Story,To Do,Major,"['As', 'user', 'I', 'able', 'upload', 'file', 'associate', 'purchase', 'order']",0,120
Bug,Done,Major,"['Authenticating', 'emails', 'case', 'sensitive']",0,30
Task,Done,Major,"['Replace', 'Auth0', 'auth', 'provider']",0,60
Bug,Done,Blocker,"['When', 'Token', 'Expired', 'restart', 'service', 'new', 'token', 'take', 'effect']",0,40
Task,Closed,Blocker,"['Expand', 'Netsuite', 'functionality', 'capture', 'service']",0,120
Task,Deploy to Production,Critical,"['Make', 'user', 'logs', 'NetSuite', 'prompted', 'enter', 'account', 'id']",0,60
Task,Done,Major,"['Create', 'Finance', 'Agent']",0,460
Task,To Do,Major,"['Update', 'WeOS', 'app', 'use', 'finance', 'agent']",0,30
Task,Closed,Blocker,"['Integrate', 'Netsuite', 'Finance', 'MCP', 'Server']",0,270
Task,In Progress,Blocker,"['Make', 'user', 'mark', 'connection', 'shared', 'account']",0,180
Task,QA,Critical,"['Create', 'basic', 'WeOS', 'Slack', 'App']",0,240
Task,Closed,Blocker,"['Architect', 'Agent', 'App']",0,360
Story,QA,Major,"['I', 'able', 'create', 'purchase', 'requisition', 'WeOS']",0,210
Story,QA,Major,"['I', 'able', 'search', 'latest', 'Bill', 'Materials', 'Revision']",0,1018
Story,To Do,Blocker,"['As', 'account', 'admin', 'I', 'able', 'add', 'Salesforce', 'integration']",0,570
