Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Bug,Done,Blocker,When an integration has the option to setup sub resources it isnt completed correctly,-,30m
Bug,Done,Major,Getting a null error response when first loading the app on production,-,1h 5m
Story,Done,Critical,I should be able to setup a Finance assistant,-,0m
Task,Done,Major,UI Cleanup,-,-
Story,Done,Critical,When my session expires I should be taken to login,1h,1h
Bug,Done,Major,All the connections are deleted when a blank connection is deleted,-,1h 45m
Task,Done,Major,Selecting the default option in mappings should update the placeholder text for the customizable option,0m,-
Task,Done,Major,Update the payment config to only have mapping for undeposited funds,30m,30m
Bug,Done,Critical,The wrong date is showing up on payouts and orders,30m,38m
Task,Done,Major,Rename Sparks and Signals,30m,30m
Bug,Done,Critical,Charge Back insights are posting multiple times in a day,-,10m
Story,Done,Major,I should be able to map payment methods to deposit accounts,-,-
Story,Closed,Critical,I should be able to view a list of orders,-,-
Story,Closed,Minor,I should be able to view a list of payouts,-,-
Task,Done,Major,Update the Fees tab to include Payout fee mappings,-,-
Task,Done,Major,Update import list to have filters and a short description of the contents,-,-
Task,Done,Major,Place list of most recent imports on the home screen,-,-
Task,Done,Critical,Simulate payouts for webooksdev and webooksqa,-,-
Bug,Closed,Major,Import is polling continuously even after the final change errored,-,-
Task,Closed,Major,Make it so that all demo connections are copied to demo accounts,-,-
Story,To Do,Major,As a user I should be able to upload a file and associate it with a purchase order,-,2h
Bug,Done,Major,Authenticating with emails is case sensitive,-,30m
Story,Done,Major,As a user I should be able to upload an image and associate it with a purchase order,-,-
Task,Deploy to Production,Major,Add Netsuite as a provider to IAM,-,-
Task,Done,Major,Replace Auth0 as auth provider,-,1h
Bug,Done,Blocker,When Token Expired have to restart the service for new token to take effect,-,40m
Task,Done,Critical,Get rid of dev environment,-,-
Bug,Done,Blocker,Issues preparing for Nassif Demo,-,-
Task,Done,Major,Nassif workaround for missing SKUS,-,-
Bug,Done,Major,Connection Title is blank after shopify user logs in,-,-
Task,Closed,Blocker,Expand Netsuite functionality in capture service,-,2h
Task,Deploy to Production,Critical,Make it so that when a user logs in with NetSuite they are prompted to enter their account id,-,1h
Task,Done,Major,Create Finance Agent,-,7h 40m
Task,To Do,Major,Update WeOS app to use finance agent,-,30m
Task,Closed,Blocker,Integrate Netsuite in Finance MCP Server,-,4h 30m
Task,In Progress,Blocker,Make it so that a user can mark a connection as shared in the account,-,3h
Task,QA,Critical,Create basic WeOS Slack App,0m,4h
Task,Closed,Blocker,Architect Agent App,-,6h
Story,QA,Major,I should be able to create a purchase requisition from WeOS,-,3h 30m
Story,QA,Major,I should be able to search for the latest Bill of Materials Revision,-,2d 58m
Story,To Do,Blocker,As an account admin I should be able to add Salesforce as an integration,-,1d 1h 30m
